Account,Day,Details,Amount,Transaction ID,Business Name
Lindsey Richardson (Katara Jewels Daily Wage),124,Wage,-200.0,15.0,Katara Jewels
Katara Jewels Revenue,124,Revenue,1200.0,15.0,Katara Jewels
Maria Willis (Katara Jewels Daily Wage),124,Wage,-200.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,124,Marketing,-100.0,15.0,Katara Jewels
Maria Willis (Katara Jewels Daily Wage),125,Wage,-200.0,15.0,Katara Jewels
Lindsey Richardson (Katara Jewels Daily Wage),125,Wage,-200.0,15.0,Katara Jewels
Katara Jewels Revenue,125,Revenue,1200.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,125,Marketing,-100.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,126,Marketing,-100.0,15.0,Katara Jewels
Maria Willis (Katara Jewels Daily Wage),127,Wage,-200.0,15.0,Katara Jewels
Lindsey Richardson (Katara Jewels Daily Wage),127,Wage,-200.0,15.0,Katara Jewels
Katara Jewels Revenue,127,Revenue,1200.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,127,Marketing,-100.0,15.0,Katara Jewels
Lindsey Richardson (Katara Jewels Daily Wage),128,Wage,-200.0,15.0,Katara Jewels
Katara Jewels Revenue,128,Revenue,600.0,15.0,Katara Jewels
Maria Willis (Katara Jewels Daily Wage),128,Wage,-200.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,128,Marketing,-500.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,128,Marketing,-100.0,15.0,Katara Jewels
Lindsey Richardson (Katara Jewels Daily Wage),129,Wage,-200.0,15.0,Katara Jewels
Katara Jewels Revenue,129,Revenue,1000.0,15.0,Katara Jewels
Maria Willis (Katara Jewels Daily Wage),129,Wage,-200.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,129,Marketing,-500.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,130,Marketing,-500.0,15.0,Katara Jewels
